,persName,rolename
253,"BILIOTTI, SIR ALFRED",K.C.M.G.
254,"BIRCH, ALEXANDER H.",C.M.G.
255,"BIRCH, ALEXANDER H.",O.B.E.
256,"BIRCH, SIR JOHN A.",K.C.V.O.
257,"BIRCH, SIR JOHN A.",C.M.G.
258,"BISHOP, Major-General SIR WILLIAM H.A.",K.C.M.G.
259,"BISHOP, Major-General SIR WILLIAM H.A.",C.B.
260,"BISHOP, Major-General SIR WILLIAM H.A.",C.V.O.
261,"BISHOP, Major-General SIR WILLIAM H.A.",O.B.E.
262,"BLACKWELL, JOHN K.",C.B.E.
263,"BLAKE, ALISON",C.M.G.
264,"BLAND, SIR G. NEVILE M.",K.C.M.G.
265,"BLAND, SIR G. NEVILE M.",K.C.V.O.
266,"BLATHERWICK, SIR DAVID E.S.",K.C.M.G.
267,"BLATHERWICK, SIR DAVID E.S.",O.B.E.
268,"BLECH (BLECK), EDWARD C.",C.M.G.
269,"BLIGH, Hon. SIR JOHN D.",K.C.B.
270,"BLOOMFIELD, Lieutenant-General the Rt. Hon. BENJAMIN, 1st LORD",G.C.B.
271,"BLOOMFIELD, Rt. Hon. JOHN, 2nd LORD",G.C.B.
272,"BLOOMFIELD, KEITH G.",C.M.G.
273,"BLUETT, HERBERT A.N.",O.B.E.
274,"BLUNT, DAVID G.",C.V.O.
275,"BLUNT, SIR JOHN E.",C.B.
276,"BOAS, J. LESLIE",O.B.E.
277,"BOLLAND, SIR EDWIN",K.C.M.G.
278,"BONAR, HENRY A.C.",C.M.G.
279,"BOND, IAN A.M.",C.V.O.
280,"BONE, SIR ROGER B.",K.C.M.G.
281,"BOOKER, SIR WILLIAM L.",C.M.G.
282,"BOOTH, CHARLES L.",C.M.G.
283,"BOOTH, CHARLES L.",L.V.O.
284,"BOOTH, SIR GORDON",K.C.M.G.
285,"BOOTH, SIR GORDON",C.V.O.
286,"BOOTHBY, E. BASIL",C.M.G.
287,"BOTTOMLEY, SIR JAMES R.A.",K.C.M.G.
288,"BOURDILLON, SIR BERNARD H.",G.C.M.G.
289,"BOURDILLON, SIR BERNARD H.",K.B.E.
290,"BOWDEN, JAMES (JAMIE) N.G.",C.M.G.
291,"BOWDEN, JAMES (JAMIE) N.G.",O.B.E.
292,"BOWKER, SIR R. JAMES",G.B.E.
293,"BOWKER, SIR R. JAMES",K.C.M.G.
294,"BOYCE, SIR GRAHAM H.",K.C.M.G.
295,"BOYD, SIR JOHN D.I.",K.C.M.G.
296,"BOYLE, RANALD H.M.",D.S.C.
297,"BRAHAM, HAROLD",C.B.E.
298,"BRAIN, SIR H. NORMAN",K.B.E.
299,"BRAIN, SIR H. NORMAN",C.M.G.
300,"BRAITHWAITE, SIR RODERIC Q.",G.C.M.G.
301,"BRANT, COLIN T",C.M.G.
302,"BRANT, COLIN T",C.V.O.
303,"BRANT, RICHARD W.",C.M.G.
304,"BRASH, ROBERT",C.M.G.
305,"BRASNETT, JOHN",C.M.G.
306,"BRENAN, BYRON",C.M.G.
307,"BRENAN, SIR JOHN F.",K.C.M.G.
308,"BRENAN, TERENCE V.",C.B.E.
309,"BRENCHLEY, T. FRANK",C.M.G.
310,"BRENTON, SIR ANTHONY R.",K.C.M.G.
311,"BRETT, HENRY J.",C.M.G.
312,"BRETT ROOKS, BEDELIA (BIDDY)",L.V.O.
313,"BREWER, DAME NICOLA M.",D.C.M.G.
314,"BREWIS, JOHN F.",C.M.G.
315,"BREWIS, JOHN F.",C.V.O.
316,"BRICKELL, DANIEL F.H.",O.B.E.
317,"BRIDGEMAN, REGINALD F. ORLANDO",C.M.G.
318,"BRIDGEMAN, REGINALD F. ORLANDO",M.V.O.
319,"BRIDGES, STEPHEN J.",L.V.O.
320,"BRIDGES, THOMAS, 2nd LORD",G.C.M.G.
321,"BRIGHTY, A. DAVID",C.M.G.
322,"BRIGHTY, A. DAVID",C.V.O.
323,"BRIMELOW, SIR THOMAS",G.C.M.G.
324,"BRIMELOW, SIR THOMAS",O.B.E.
325,"BRIND, A. HENRY",C.M.G.
326,"BRINKLEY, ROBERT E.",C.M.G.
327,"BRINSON, DEREK N.",C.M.G.
328,"BRINSON, DEREK N.",M.C.
329,"BRISTOW, LAURENCE S.C.",C.M.G.
330,"BRITTEN, Brigadier GEORGE V.",C.B.E.
331,BRITTEN RAE G.,C.M.G.
332,"BROAD, PHILIP",C.M.G.
333,"BROADLEY, JOHN K.E.",C.M.G.
334,"BROADMEAD, SIR PHILIP M.",K.C.M.G.
335,"BROADMEAD, SIR PHILIP M.",M.C.
336,"BRODERICK, SIR JOHN J.",K.B.E.
337,"BRODERICK, SIR JOHN J.",C.M.G.
338,"BROMLEY, SIR THOMAS E.",K.C.M.G.
339,"BRONNERT, DEBORAH J.",C.M.G.
340,"BROOKE TURNER, ALAN",C.M.G.
341,"BROOMFIELD, SIR NIGEL H.R.A.",K.C.M.G.
342,"BROWN, DAVID C.",C.M.G.
343,"BROWN, DENYS D.",C.M.G.
344,"BROWN, DENYS D.",M.M.
345,"BROWN, DOUGLAS J.",M.B.E.
346,"BROWN, FRANCIS D.W.",C.M.G.
347,"BROWN, FRANK H.",O.B.E.
348,"BROWN, DAME GILLIAN G.",D.C.V.O.
349,"BROWN, DAME GILLIAN G.",C.M.G.
350,"BROWN, HAROLD A.N.",C.M.G.
351,"BROWN, HAROLD A.N.",C.V.O.
352,"BROWN, HERBERT G.",M.B.E.
353,"BROWN, JOHN",C.M.G.
354,"BROWN, J. MICHAEL",C.B.E.
355,"BROWN, SIR MERVYN",K.C.M.G.
356,"BROWN, SIR MERVYN",O.B.E.
357,"BROWN, SIR STEPHEN D.R.",K.C.V.O.
358,"BROWNE, CAROLYN",C.M.G.
359,"BROWNE, MERVYN E.",C.B.E.
360,"BROWNE, MERVYN E.",E.R.D.
361,"BROWNE, SIR NICHOLAS W.",K.B.E.
362,"BROWNE, SIR NICHOLAS W.",C.M.G.
363,"BROWNRIDGE, VALERIE",M.V.O.
364,"BRUMMELL, PAUL",C.M.G.
365,"BRYAN, MARGARET",C.M.G.
366,"BRYANT, THOMAS",C.M.G.
367,"BRYCE, Rt. Hon. SIR JAMES",O.M.
368,"BRYCE, Rt. Hon. SIR JAMES",G.C.V.O.
369,"BRYSON-RICHARDSON, MARK E.",M.B.E.
370,"BUCHANAN, Rt. Hon. SIR ANDREW, Bt.",G.C.B.
371,"BUCHANAN, Rt. Hon. SIR GEORGE W.",G.C.B.
372,"BUCHANAN, Rt. Hon. SIR GEORGE W.",G.C.M.G.
373,"BUCHANAN, Rt. Hon. SIR GEORGE W.",G.C.V.O.
374,"BUCKLE, SIMON J.",C.M.G.
375,"BUDD, SIR COLIN R.",K.C.M.G.
376,"BULLARD, SIR GILES L.",K.C.V.O.
377,"BULLARD, SIR GILES L.",C.M.G.
378,"BULLARD, SIR JULIAN L.",G.C.M.G.
379,"BULLARD, SIR READER W.",K.C.B.
380,"BULLARD, SIR READER W.",K.C.M.G.
381,"BULLARD, SIR READER W.",C.I.E.
382,"BULWER, Rt. Hon. SIR W. HENRY L.E.",G.C.B.
383,"BULWER-LYTTON, Rt. Hon. SIR EDWARD R.L.",G.C.B.
384,"BULWER-LYTTON, Rt. Hon. SIR EDWARD R.L.",G.C.S.I.
385,"BULWER-LYTTON, Rt. Hon. SIR EDWARD R.L.",G.C.I.E.
386,"BUMSTEAD, KENNETH",C.V.O.
387,"BUMSTEAD, KENNETH",C.B.E.
388,"BURDETT, SCOTT L.",C.B.E.
389,"BURDETT, SCOTT L.",M.C.
390,"BURGES WATSON, RICHARD E.G.",C.M.G.
391,"BURGESS, ANTHONY R.F.",C.V.O.
392,"BURNETT, ROBERT R.",C.M.G.
393,"BURNETT, ROBERT R.",C.I.E.
394,"BURNETT, ROBERT R.",O.B.E.
395,"BURNS, DAVID A.",C.M.G.
396,"BURNS, DAVID A.",C.B.E.
397,"BURNS, KEVIN F.X.",C.M.G.
398,"BURNS, SIR R. ANDREW",K.C.M.G.
399,"BURROUGHS, RONALD A.",C.M.G.
400,"BURROWS, SIR BERNARD A.B.",G.C.M.G.
401,"BURROWS, REGINALD A.",C.M.G.
402,"BURT-ANDREWS, STANLEY G.",C.M.G.
403,"BURT-ANDREWS, STANLEY G.",M.B.E.
404,"BURTON, SIR GRAHAM S.",K.C.M.G.
405,"BURTON, SIR MICHAEL ST.E.",K.C.V.O.
406,"BURTON, SIR MICHAEL ST.E.",C.M.G.
407,"BUSHE, SIR H. GRATTAN",K.C.M.G.
408,"BUSHE, SIR H. GRATTAN",C.B.
409,"BUSHELL, JOHN C.W.",C.M.G.
410,"BUSK, SIR DOUGLAS L.",K.C.M.G.
411,"BUTLER, FRANK C.",C.B.E.
412,"BUTLER, SIR FREDERICK G.A.",K.C.M.G.
413,"BUTLER, SIR FREDERICK G.A.",C.B.
414,"BUTLER, KEITH S.",C.M.G.
415,"BUTLER, SIR MICHAEL D.",G.C.M.G.
416,"BUTLER, SIR NEVILE M.",K.C.M.G.
417,"BUTLER, SIR NEVILE M.",C.V.O.
418,"BUTLER, SIR PAUL D.",K.C.M.G.
419,"BUXTON, ADRIAN C.",C.M.G.
420,"BYATT, SIR HUGH C.",K.C.V.O.
421,"BYATT, SIR HUGH C.",C.M.G.
422,"BYATT, RONALD A.C. (ROBIN)",C.M.G.
423,"CABLE, ERIC G.",C.M.G.
424,"CABLE, SIR JAMES E.",K.C.V.O.
425,"CABLE, SIR JAMES E.",C.M.G.
426,"CACCIA, SIR HAROLD A.",G.C.M.G.
427,"CACCIA, SIR HAROLD A.",G.C.V.O.
428,"CADOGAN, Rt. Hon. Sir ALEXANDER G.M.",O.M.
429,"CADOGAN, Rt. Hon. Sir ALEXANDER G.M.",G.C.M.G.
430,"CADOGAN, Rt. Hon. Sir ALEXANDER G.M.",K.C.B.
431,"CAHILL, SIR J. ROBERT",C.M.G.
432,"CALLAN, SIR IVAN",K.C.V.O.
433,"CALLAN, SIR IVAN",C.M.G.
434,"CALLENDER, REGINALD T.",C.B.E.
435,"CALVERT, ALBERT S.",O.B.E.
436,"CAMBRIDGE, ROGER A.",M.V.O.
437,"CAMBRIDGE, S. JOHN.G.",C.M.G.
438,"CAMBRIDGE, S. JOHN.G.",C.V.O.
439,"CAMERON, DONALD A.",C.M.G.
440,"CAMPBELL, SIR ALAN H.",G.C.M.G.
441,"CAMPBELL, SIR FRANCIS A.",K.C.M.G.
442,"CAMPBELL, SIR FRANCIS A.",C.B.
443,"CAMPBELL, SIR GERALD",G.C.M.G.
444,"CAMPBELL, JOHN D.",C.V.O.
445,"CAMPBELL, JOHN D.",C.B.E.
446,"CAMPBELL, JOHN D.",M.C.
447,"CAMPBELL, JULIET J. d’A.",C.M.G.
448,"CAMPBELL, Rt. Hon. SIR RONALD H.",G.C.M.G.
449,"CAMPBELL, Rt. Hon. SIR RONALD I.",G.C.M.G.
